RT,Item,TargetTone,TrialNum,Participant,List,Prime
1038,16,2,8,ptp003,3,morphological
1114.42,53,3,10,ptp003,3,unprimed
813.55,12,2,13,ptp003,3,identical
855.92,29,2,16,ptp003,3,unprimed
879.5,26,2,17,ptp003,3,unprimed
782.86,7,2,24,ptp003,3,morphological
997.41,9,2,26,ptp003,3,identical
931.9,33,2,29,ptp003,3,identical
1008.98,51,3,31,ptp003,3,identical
999.01,66,3,32,ptp003,3,identical
1010.31,31,2,39,ptp003,3,morphological
1176.88,2,2,42,ptp003,3,unprimed
1238.04,57,3,48,ptp003,3,identical
1093.09,58,3,52,ptp003,3,morphological
1053.24,32,2,53,ptp003,3,unprimed
1065.43,64,3,56,ptp003,3,morphological
942.01,18,2,59,ptp003,3,identical
1086.03,54,3,64,ptp003,3,identical
856.44,11,2,68,ptp003,3,unprimed
905.66,27,2,70,ptp003,3,identical
863.06,14,2,72,ptp003,3,unprimed
854.36,37,3,75,ptp003,3,morphological
1037.45,30,2,83,ptp003,3,identical
1038.81,39,3,84,ptp003,3,identical
1038.05,17,2,87,ptp003,3,unprimed
865.01,63,3,90,ptp003,3,identical
796.38,36,3,95,ptp003,3,identical
946.87,42,3,99,ptp003,3,identical
1089.01,50,3,105,ptp003,3,unprimed
1007.75,48,3,109,ptp003,3,identical
737.31,10,2,111,ptp003,3,morphological
974.34,41,3,114,ptp003,3,unprimed
994.28,40,3,115,ptp003,3,morphological
944.87,38,3,116,ptp003,3,unprimed
1147.73,55,3,128,ptp003,3,morphological
1162.21,60,3,129,ptp003,3,identical
959.01,62,3,135,ptp003,3,unprimed
1118.15,21,2,153,ptp003,3,identical
885.97,47,3,156,ptp003,3,unprimed
995.23,15,2,168,ptp003,3,identical
1017.86,19,2,169,ptp003,3,morphological
1202.6,28,2,176,ptp003,3,morphological
946.74,69,3,178,ptp003,3,identical
1143.85,13,2,195,ptp003,3,morphological
869.03,46,3,202,ptp003,3,morphological
935.49,23,2,203,ptp003,3,unprimed
1000.08,59,3,206,ptp003,3,unprimed
1027.29,25,2,211,ptp003,3,morphological
1012.16,71,3,217,ptp003,3,unprimed
927.47,65,3,225,ptp003,3,unprimed
954.72,34,2,226,ptp003,3,morphological
1193.89,49,3,229,ptp003,3,morphological
905.97,70,3,230,ptp003,3,morphological
988.4,22,2,236,ptp003,3,morphological
798.6,20,2,245,ptp003,3,unprimed
1124.92,68,3,259,ptp003,3,unprimed
845.93,6,2,270,ptp003,3,identical
1090.76,44,3,273,ptp003,3,unprimed
886.84,35,2,279,ptp003,3,unprimed
1123.98,5,2,282,ptp003,3,unprimed
819.89,43,3,285,ptp003,3,morphological
1552.25,19,2,2,ptp005,2,unprimed
1007.91,67,3,3,ptp005,2,unprimed
1051.86,39,3,4,ptp005,2,morphological
1015.76,46,3,13,ptp005,2,unprimed
1095.7,15,2,21,ptp005,2,morphological
1139.14,32,2,34,ptp005,2,identical
1091.64,40,3,43,ptp005,2,unprimed
1168.44,37,3,46,ptp005,2,unprimed
