Participant,Neutral,Incongruent
ptp1,29.3,34.44
ptp2,22.4,29.73
ptp3,24.09,27.69
ptp4,24.32,45.05
ptp5,25.95,37.91
ptp6,24.47,40.21
ptp7,31,60
ptp8,20,27
ptp9,22,34
ptp10,19.11,33.26
ptp11,18.33,35.17
ptp12,20.8,40.9
ptp13,19.82,32.45
ptp14,21.45,30.82
ptp15,23.29,35.02
ptp16,18,36
ptp17,21,30
ptp18,25,45
ptp19,25.6,35.9
ptp20,16.8,29.7
ptp21,26.5,38.3
ptp22,23.85,39.72
ptp23,21.95,34.59
ptp24,19.08,30.38
ptp25,23.54,42.8
ptp26,24.99,40.11
ptp27,22.79,36.89
ptp28,21.67,23.33
ptp29,57.06,92.63
ptp30,21.65,28.16
ptp31,22.57,28.52
ptp32,36.2,52.19
ptp33,20.98,55.54
ptp34,22.4,32.71
ptp35,19.63,27.55
ptp36,21,30.89
ptp37,26.1,44.3
ptp38,22.3,34.7
ptp39,27.9,39.9
ptp40,25.58,46.21
ptp41,29.73,69.34
ptp42,17.98,35.87
ptp43,20.27,27.91
ptp44,17.79,21.42
ptp45,24.16,27.52
ptp46,17.38,29.46
ptp47,19.98,36.53
ptp48,27.22,33.35
ptp49,24.78,28.29
ptp50,16,29.16
ptp51,20.46,38.45
ptp52,15.98,32.79
ptp53,34,52.4
ptp54,21.2,33.7
ptp55,25,67
ptp56,23,28.7
ptp57,19.8,43.3
ptp58,19.81,27.47
ptp59,29.85,42.04
ptp60,19.21,34.86
ptp61,24.76,36.05
ptp62,20,39
ptp63,20,33
ptp64,18,32
ptp65,16,30
ptp66,25,46
ptp67,26,33
ptp68,26.8,51.03
ptp69,26.33,46.43
ptp70,30.13,57.08
ptp71,21,37
ptp72,23,29
ptp73,29,32
ptp74,28,40
ptp75,29,49
ptp76,37,45
ptp77,23.01,33.56
ptp78,25.36,32.6
ptp79,22.88,36.5
ptp80,28.25,36.12
ptp81,25.37,40.49
ptp82,30.23,39.16
ptp83,22,42
ptp84,23,40
ptp85,20,32
ptp86,28.17,49.06
ptp87,23.49,31.96
ptp88,25.83,37.76
ptp89,9.2,28.16
ptp90,17.8,32.26
ptp91,23,39.36
ptp92,23.71,40.63
ptp93,28.12,39.28
ptp94,24.15,44.15
ptp95,23.3,42.2
ptp96,28,33.2
ptp97,25.2,30.2
ptp98,23.88,36.526
ptp99,21.496,36.531
ptp100,22.572,35.877
ptp101,20.03,31.45
ptp102,24.67,38.72
ptp103,22.95,36.79
