a	2 709D 64C0
a1	5  963F 554A 5475 9515 5416
a1ba4	1 963F575D
a1bo1luo2	1 963F6CE27F57
a1cheng2	1 963F57CE
a1dou4	1 963F6597
a1er3bo2te4	1 963F5C144F2F7279
a1er3ji2li4ya4	1 963F5C1453CA52294E9A
a1er3tai4	1 963F5C146CF0
a1er3tai4shan1	1 963F5C146CF05C71
a1fu1li3er3	1 963F592B91CC5C14
a1fu2	1 963F5310
a1gen1	1 963F6839
a1gen1ting2	1 963F68395EF7
a1he4su1na3ta3	1 963F8D6B82CF90A35854
a1Ｑ	1 963FFF31
a1ji1mi3de2	1 963F57FA7C735FB7
a1ji2la1	1 963F540962C9
a1jia3	1 963F7532
a1la1bo2	1 963F62C94F2F
a1la1bo2wen2	1 963F62C94F2F6587
a1la1bo2yu3	1 963F62C94F2F8BED
a1la1fa3te4	1 963F62C96CD57279
a1la1ta3si1	1 963F62C9585465AF
a1la1tan3han4	1 963F62C957666C57
a1lan2	1 963F5170
a1lan2·de2long2	1 963F5170B75FB79F99
a1lan2da2	1 963F51708FBE
a1li3	1 963F91CC
a1lian2qiu2	1 963F8054914B
a1liu2ji1shi4	1 963F755957FA5E02
a1luan2	1 963F92AE
a1luo2luo2	1 963F903B7F57
a1mao2	1 963F6BDB
a1meng2	1 963F76DF
a1mi2tuo2	1 963F5F259640
a1mi2tuo2fo2	1 963F5F2596404F5B
a1min3	1 963F654F
a1mo2ni2ya4	1 963F64695C3C4E9A
a1mu4er3zhou1	1 963F7A465C145DDE
a1pei4	1 963F6C9B
a1pei4·a1wang4jin4mei3	1 963F6C9BB7963F65FA664B7F8E
a1qiang2	1 963F5F3A
a1qiao2	1 963F6865
a1rong2	1 963F8363
a1sa4de2	1 963F84285FB7
a1sai1bai4jiang1	1 963F585E62DC7586
a1shen2ta3le4	1 963F4EC0585452D2
a1shi1ma3	1 963F8BD7739B
a1shuo1shi4	1 963F8BF4793A
a1si1pi3lin2	2 963F65AF53396797 963F53F853396797
a1wa3di2	1 963F74E68FEA
a1xi1	1 963F897F
a1yao2	1 963F5C27
a1yi2	1 963F59E8
a1yu2	1 963F8C00
a1yu4wang2	1 963F80B2738B
a1zhang1	2 963F7AE0 963F748B
a1zhen1	1 963F73CD
a1zi1la1yi1le4	1 963F517962C94F0A52D2
a2	2  554A 55C4
a3	1  554A
a4	2  963F 554A
ai1	6  57C3 54C0 6328 5509 54CE 953F
ai1ai1	2 63286328 54C054C0
ai1da3	1 63286253
ai1dao4	1 54C060BC
ai1de2·kao3ke4si1	1 57C35FB7B78003514B65AF
ai1de2jia1·si1nuo4	1 57C35FB752A0B765AF8BFA
ai1dong4	1 632851BB
ai1e4	1 6328997F
ai1hao2	1 54C0568E
ai1ji2	1 57C353CA
ai1jia1ai1hu4	1 63285BB663286237
ai1jin4	1 63288FD1
ai1li3ke4·bo2en1	1 57C391CC514BB74F2F6069
ai1lin2bai4de2	1 57C3679762DC5FB7
ai1mi3er3	1 57C37C735C14
ai1mi3er3gong1	1 57C37C735C145BAB
ai1ming2	1 54C09E23
ai1nie4a1si1	1 57C36D85963F65AF
ai1qiu2	1 54C06C42
ai1shang1	1 54C04F24
ai1sheng1tan4qi4	1 550958F053F96C14
ai1tan4	1 54C053F9
ai1wen2si1	1 57C3658765AF
ai1ya1	1 54CE5440
ai1yo1	1 54CE54DF
ai1yo1yo1	1 54CE54DF54DF
ai1yu4	1 54C090C1
ai1yuan4	1 54C06028
ai1zhao2	1 63287740
ai1zou4	1 632863CD
ai2	4  764C 6328 7691 6371
ai2ai2	1 76917691
ai2zheng4	2 764C75C7 954797595242
ai3	4  77EE 853C 55F3 972D
ai3ai3	1 77EE77EE
ai3deng4	1 77EE51F3
ai3dun1dun1	1 77EE58A958A9
ai3ge4zi	1 77EE4E2A5B50
ai3pang4	1 77EE80D6
ai3qiang2	1 77EE5899
ai3sheng1mi4sheng1	1 77EE751F5BC6751F
ai3xiao3	1 77EE5C0F
ai3zi	1 77EE5B50
ai4	16  7231 827E 788D 5509 9698 66A7 55F3 55CC 7839 5AD2 7477 9D31 9749 8CF9 9440 8586
ai4ai4	1 72317231
ai4bu3	1 827E535C
ai4bu4shi4shou3	1 72314E0D91CA624B
ai4chu1feng1tou2	1 723151FA98CE5934
ai4dai4	1 72316234
ai4de2	1 72315FB7
ai4di4an1·ma3na4ke4	1 827E84825B89B79A6C7EB3514B
ai4er2	1 827E513F
ai4er3du4di4	1 72315C14675C7B2C
ai4er3lan2	1 72315C145170
ai4fu3	1 7231629A
ai4gang1	1 72315C97
ai4guo2	1 723156FD
ai4guo2cun1	1 723156FD6751
ai4guo2ren2shi4	1 723156FD4EBA58EB
ai4guo2xin1	1 723156FD5FC3
ai4guo2zhe3	1 723156FD8005
ai4guo2zhu3yi4	1 723156FD4E3B4E49
ai4ha1mai4de2	1 827E54C88FC85FB7
ai4hao4	1 7231597D
ai4he2	1 72316CB3
ai4hu4	1 723162A4
ai4kou3	1 969853E3
ai4lan2	1 72315170
ai4li4kao3	1 723183898003
ai4lian2	1 7231601C
ai4lian4	1 7231604B
ai4lue4te4	1 827E75657279
ai4lun2	1 72314F26
ai4lun2·po1	1 72314F26B75761
ai4luu3	1 72314FA3
ai4mei3	1 72317F8E
ai4mei4	1 66A76627
ai4mian4zi	1 723197625B50
ai4min2	1 72316C11
ai4mu4	1 72316155
ai4niao3	1 72319E1F
ai4nuu3	1 72315973
