#Chinese homophony raw data
#Compiled by Stephen Politzer-Ahles, 2009-12-03
#This document was generated using Da Jun's character corpus <http://lingua.mtsu.edu/chinese-computing/> and
#  the Unihan database <http://www.unicode.org/charts/unihan.html> . If you use it for anything, please
#  credit these two sources accordingly

geng4	1  66F4
niao3	4  9E1F 8885 8311 5B32
nou4	1  8028
ceng4	1  8E6D
you4	15  53C8 53F3 5E7C 8BF1 4F51 91C9 7950 67DA 56FF 5BA5 86B4 9F2C 4F91 890F 890E
tui3	3  817F 812E 8E46
qing1	9  6E05 8F7B 9752 503E 537F 6C22 873B 9CAD 570A
ti3	1  4F53
ge2	18  683C 9769 9694 9601 845B 9ABC 86E4 9616 55DD 9549 643F 9A14 8188 9B32 8A65 8F55 88D3 5865
a2	2  554A 55C4
gen1	2  6839 8DDF
ka3	3  5361 80E9 4F67
tou	1  5934
pei2	5  57F9 966A 8D54 88F4 952B
fan4	12  8303 72AF 996D 6CDB 8D29 68B5 7548 8A09 8ED3 76D5 98F0 8EEC
kang1	6  5EB7 6177 7CE0 95F6 9C47 8EBF
ga1	4  4F3D 560E 5477 65EE
wen3	5  7A33 543B 7D0A 520E 8117
po3	3  53F5 7B38 94B7
gu1	20  59D1 4F30 5B64 5495 8F9C 83C7 5471 6CBD 7B8D 8F71 9E2A 86C4 6BC2 83F0 89DA 9164 7B1F 84C7 82FD 7B9B
han2	10  542B 97E9 5BD2 51FD 6DB5 90AF 6657 7113 9097 80A3
wan1	7  6E7E 5F2F 873F 8C4C 525C 7755 95A2
shang	1  88F3
o4	1  54E6
xiu4	10  79C0 8896 5BBF 81ED 7EE3 55C5 9508 5CAB 6EB4 8791
rui3	2  854A 8602
gou1	11  6C9F 52FE 94A9 7BDD 67B8 4F5D 97B2 7F11 88A7 7C3C 8920
ru2	13  5982 5112 8815 8339 5B7A 5685 6FE1 85B7 94F7 8966 98A5 88BD 9D3D
liao1	2  64A9 8E7D
zhuo1	6  684C 6349 62D9 6DBF 502C 68F9
kong3	3  6050 5B54 5025
wu4	23  7269 52A1 6076 8BEF 609F 96FE 52FF 6664 5140 575E 620A 92C8 9A9B 9E5C 5A7A 5BE4 7110 82B4 674C 9770 971A 75E6 9622
gai4	7  6982 76D6 4E10 9499 6E89 6224 8462
she4	14  793E 8BBE 5C04 6D89 820D 6444 6151 8D66 9E9D 6B59 538D 850E 6EE0 9A07
jian3	26  7B80 68C0 51CF 526A 6361 78B1 4FED 62E3 67EC 8327 7751 950F 7FE6 7B15 8B07 8E47 622C 7877 88E5 8DBC 56DD 8C2B 67A7 9B0B 918E 8812
nang3	2  66E9 652E
cuo4	5  9519 63AA 632B 539D 9509
chuo4	6  7EF0 555C 8F8D 9F8A 8FB5 78ED
yong3	13  6C38 52C7 6D8C 6CF3 548F 8E0A 607F 86F9 752C 4FD1 799C 9CAC 7B69
deng1	5  767B 706F 8E6C 7C26 5654
peng3	1  6367
pu3	10  666E 6734 6D66 8C31 57D4 5703 6EA5 8E7C 6C06 9568
tu4	5  5410 5154 83DF 580D 83B5
su2	1  4FD7
zan1	3  7C2A 7CCC 7BF8
na	2  54EA 5450
mo2	15  6A21 6469 9B54 6478 78E8 819C 6479 8C1F 8611 998D 5B37 5AEB 7CE2 995D 8B29
shi3	8  4F7F 59CB 53F2 9A76 77E2 5C4E 8C55 9242
lu1	2  565C 64B8
cuan2	1  6512
yu4	60  4E0E 8BED 80B2 9884 57DF 9047 7389 6B32 8C37 6108 5FA1 72F1 8A89 90C1 8C6B 88D5 5401 5BD3 55BB 6D74 8C15 6BD3 851A 9A6D 807F 715C 828B 5CEA 71A8 94B0 6631 9608 59AA 9E6C 996B 9B3B 9E46 872E 8080 71E0 9079 84E3 9D25 77DE 92CA 9D2A 8F5D 791C 8EC9 9D27 7C72 7FD1 7C5E 96A9 9A48 8858 88AC 9325 7907 9CFF
xun2	16  5BFB 5DE1 8BE2 5FAA 65EC 9A6F 8340 6D35 5CCB 9C9F 6D54 6042 9129 90C7 7D03 87F3
man4	11  6162 66FC 6F2B 8513 5E54 8C29 7F26 71B3 5881 9558 8504
biao4	1  9CD4
zhan1	16  5360 7C98 6CBE 8A79 77BB 6BE1 65C3 8C35 89C7 9711 9E6F 9085 9CE3 9A59 859D 8A40
zhang3	5  957F 638C 6DA8 9423 4EC9
shu2	5  719F 8D4E 5B70 587E 79EB
jiao2	1  56BC
zao3	5  65E9 85FB 6FA1 67A3 86A4
nie1	1  634F
mai3	2  4E70 836C
mi4	13  5BC6 79D8 871C 6CCC 89C5 8C27 5B93 6C68 5627 5E42 84C2 9F0F 899B
me	1  4E48
xing4	10  884C 6027 5174 5E78 59D3 674F 60BB 8347 81D6 8395
ta4	14  8E0F 62D3 69BB 55D2 8E4B 6C93 631E 95FC 9062 6F2F 9618 905D 79A2 8ABB
duan4	7  65AD 6BB5 953B 7F0E 6934 7145 846E
sha4	9  53A6 715E 970E 55C4 6B43 553C 7FDC 95AF 7FE3
